Bairro,Número de Homicidios ,População Total,Pop. Homens,Pop. Mulheres,Média de moradores por domicílio,Razão de Dependência
PLANALTO AYRTON SENNA,30,"39,446","19,277","20,169",3.56,46.83
PRAIA DE IRACEMA,11,"3,130","1,437","1,693",2.87,34.28
PRAIA DO FUTURO I,12,"6,630","3,224","3,406",3.42,49.86
PRAIA DO FUTURO II,12,"11,957","5,879","6,078",3.46,48.74
PREFEITO JOSE VALTER,25,"33,427","15,401","18,026",3.42,43.27
PRESIDENTE KENNEDY,2,"23,004","10,327","12,677",3.43,37.83
QUINTINO CUNHA,36,"47,277","22,471","24,806",3.58,42.43
RODOLFO TEOFILO,4,"19,114","8,575","10,539",3.36,38.45
SABIAGUABA,9,"2,117","1,043","1,074",3.59,43.23
SALINAS,0,"4,298","2,014","2,284",3.51,38.91
SAO BENTO,0,"11,964","5,771","6,193",3.36,46.71
SAO GERARDO,3,"14,505","6,376","8,129",3.27,34.87
SAO JOAO DO TAUAPE,24,"27,598","12,498","15,100",3.32,39.31
SAPIRANGA COITE,13,"32,158","15,278","16,880",3.73,43.25
SERRINHA,21,"28,770","13,823","14,947",3.47,40.88
SIQUEIRA,30,"33,628","16,373","17,255",3.63,51.59
VARJOTA,2,"8,421","3,645","4,776",3.01,32.07
VICENTE PINZON,34,"45,518","21,766","23,752",3.55,42.98
MANOEL SATIRO,9,"37,952","17,707","20,245",3.41,38.74
VILA PERY,6,"20,645","9,517","11,128",3.38,38.50
VILA UNIAO,10,"15,378","7,090","8,288",3.38,39.63
VILA VELHA,31,"61,617","29,108","32,509",3.55,43.99
,6,,,,,
